algorithm,language,sample,time
radixlsd,c,52,0.00385
radixlsd,c,53,0.004102
radixlsd,c,54,0.005208
radixlsd,c,55,0.004458
radixlsd,c,56,0.003821
radixlsd,c,57,0.004785
radixlsd,c,58,0.003748
radixlsd,c,59,0.004531
radixlsd,c,60,0.003764
radixlsd,c,61,0.004751
radixlsd,c,62,0.003844
radixlsd,c,63,0.00467
radixlsd,c,64,0.003798
radixlsd,c,65,0.00406
radixlsd,c,66,0.004964
radixlsd,c,67,0.007395
radixlsd,c,68,0.003791
radixlsd,c,69,0.003997
radixlsd,c,70,0.003861
radixlsd,c,71,0.003731
radixlsd,c,72,0.005094
radixlsd,c,73,0.00415
radixlsd,c,74,0.004842
radixlsd,c,75,0.003846
radixlsd,c,76,0.00478
radixlsd,c,77,0.004501
radixlsd,c,78,0.004183
radixlsd,c,79,0.00462
radixlsd,c,80,0.003725
radixlsd,c,81,0.004723
radixlsd,c,82,0.003715
radixlsd,c,83,0.004733
radixlsd,c,84,0.004146
radixlsd,c,85,0.004252
radixlsd,c,86,0.003876
radixlsd,c,87,0.004174
radixlsd,c,88,0.0038
radixlsd,c,89,0.003738
radixlsd,c,90,0.004946
radixlsd,c,91,0.003745
radixlsd,c,92,0.004665
radixlsd,c,93,0.003874
radixlsd,c,94,0.004004
radixlsd,c,95,0.00422
radixlsd,c,96,0.003916
radixlsd,c,97,0.00421
radixlsd,c,98,0.003699
radixlsd,c,99,0.004184
radixmsd,c,0,0.002612
radixmsd,c,1,0.002371
radixmsd,c,2,0.002434
radixmsd,c,3,0.002646
radixmsd,c,4,0.002375
radixmsd,c,5,0.002337
radixmsd,c,6,0.002385
radixmsd,c,7,0.002568
radixmsd,c,8,0.002351
radixmsd,c,9,0.002351
radixmsd,c,10,0.002327
radixmsd,c,11,0.002609
radixmsd,c,12,0.002436
radixmsd,c,13,0.00234
radixmsd,c,14,0.002332
radixmsd,c,15,0.002693
radixmsd,c,16,0.002398
radixmsd,c,17,0.002579
radixmsd,c,18,0.002369
radixmsd,c,19,0.002745
radixmsd,c,20,0.002477
radixmsd,c,21,0.002352
radixmsd,c,22,0.002363
radixmsd,c,23,0.002714
radixmsd,c,24,0.002393
radixmsd,c,25,0.002364
radixmsd,c,26,0.002339
radixmsd,c,27,0.002701
radixmsd,c,28,0.002457
radixmsd,c,29,0.002324
radixmsd,c,30,0.002387
radixmsd,c,31,0.002634
radixmsd,c,32,0.002525
radixmsd,c,33,0.002365
