algorithm,language,sample,time
quick,c,0,0.002189
quick,c,1,0.002604
quick,c,2,0.002556
quick,c,3,0.002441
quick,c,4,0.001893
quick,c,5,0.001873
quick,c,6,0.001869
quick,c,7,0.001922
quick,c,8,0.002280
quick,c,9,0.002291
quick,c,10,0.001961
quick,c,11,0.001924
quick,c,12,0.001910
quick,c,13,0.001887
quick,c,14,0.001882
quick,c,15,0.001878
quick,c,16,0.001903
quick,c,17,0.001878
quick,c,18,0.001893
quick,c,19,0.001891
quick,c,20,0.001871
quick,c,21,0.001894
quick,c,22,0.001896
quick,c,23,0.001888
quick,c,24,0.001892
quick,c,25,0.001882
quick,c,26,0.001899
quick,c,27,0.001882
quick,c,28,0.001874
quick,c,29,0.001872
quick,c,30,0.001909
quick,c,31,0.001991
quick,c,32,0.001967
quick,c,33,0.001979
quick,c,34,0.001969
quick,c,35,0.001870
quick,c,36,0.001899
quick,c,37,0.001904
quick,c,38,0.001905
quick,c,39,0.001869
quick,c,40,0.001848
quick,c,41,0.001894
quick,c,42,0.001909
quick,c,43,0.001878
quick,c,44,0.001879
quick,c,45,0.001899
quick,c,46,0.001873
quick,c,47,0.001898
quick,c,48,0.001893
quick,c,49,0.001879
quick,c,50,0.001868
quick,c,51,0.001900
quick,c,52,0.001881
quick,c,53,0.001879
quick,c,54,0.001859
quick,c,55,0.001871
quick,c,56,0.001891
quick,c,57,0.001887
quick,c,58,0.001901
quick,c,59,0.001904
quick,c,60,0.001889
quick,c,61,0.001879
quick,c,62,0.001900
quick,c,63,0.001876
quick,c,64,0.001907
quick,c,65,0.001937
quick,c,66,0.001886
quick,c,67,0.001887
quick,c,68,0.001901
quick,c,69,0.001902
quick,c,70,0.001908
quick,c,71,0.001872
quick,c,72,0.001874
quick,c,73,0.001869
quick,c,74,0.001880
quick,c,75,0.001873
quick,c,76,0.001871
quick,c,77,0.001881
quick,c,78,0.001876
quick,c,79,0.001886
quick,c,80,0.001890
quick,c,81,0.001891
quick,c,82,0.001872
quick,c,83,0.001882
quick,c,84,0.001873
quick,c,85,0.001895
quick,c,86,0.001889
quick,c,87,0.001886
quick,c,88,0.001876
quick,c,89,0.001879
quick,c,90,0.001887
quick,c,91,0.001876
quick,c,92,0.001894
quick,c,93,0.001891
quick,c,94,0.001894
quick,c,95,0.001886
quick,c,96,0.001889
quick,c,97,0.001922
quick,c,98,0.001882
quick,c,99,0.001871
heap,c,0,0.002214
heap,c,1,0.002240
heap,c,2,0.002209
heap,c,3,0.002222
heap,c,4,0.002200
heap,c,5,0.002209
heap,c,6,0.002198
heap,c,7,0.002224
heap,c,8,0.002207
heap,c,9,0.002224
heap,c,10,0.002220
heap,c,11,0.002200
heap,c,12,0.002217
heap,c,13,0.002303
heap,c,14,0.002279
heap,c,15,0.002205
heap,c,16,0.002205
heap,c,17,0.002205
heap,c,18,0.002296
heap,c,19,0.002217
heap,c,20,0.002213
heap,c,21,0.002225
heap,c,22,0.002218
heap,c,23,0.002230
heap,c,24,0.002220
heap,c,25,0.002209
heap,c,26,0.002212
heap,c,27,0.002214
heap,c,28,0.002215
heap,c,29,0.002213
heap,c,30,0.002225
heap,c,31,0.002217
heap,c,32,0.002225
heap,c,33,0.002214
heap,c,34,0.002218
heap,c,35,0.002236
heap,c,36,0.002220
heap,c,37,0.002206
heap,c,38,0.002211
heap,c,39,0.002216
heap,c,40,0.002210
heap,c,41,0.002228
heap,c,42,0.002210
heap,c,43,0.002269
heap,c,44,0.002217
heap,c,45,0.002219
heap,c,46,0.002229
heap,c,47,0.002213
heap,c,48,0.002239
heap,c,49,0.002218
heap,c,50,0.002234
heap,c,51,0.002202
heap,c,52,0.002231
heap,c,53,0.002208
heap,c,54,0.002215
heap,c,55,0.002228
heap,c,56,0.002217
heap,c,57,0.002235
heap,c,58,0.002206
heap,c,59,0.002213
heap,c,60,0.002194
heap,c,61,0.002214
heap,c,62,0.002207
heap,c,63,0.002208
heap,c,64,0.002218
heap,c,65,0.002222
heap,c,66,0.002227
heap,c,67,0.002212
heap,c,68,0.002236
heap,c,69,0.002207
heap,c,70,0.002217
heap,c,71,0.002207
heap,c,72,0.002206
heap,c,73,0.002216
heap,c,74,0.002221
heap,c,75,0.002217
heap,c,76,0.002201
heap,c,77,0.002219
heap,c,78,0.002218
heap,c,79,0.002230
heap,c,80,0.002220
heap,c,81,0.002209
heap,c,82,0.002278
heap,c,83,0.002240
heap,c,84,0.002219
heap,c,85,0.002199
heap,c,86,0.002220
heap,c,87,0.002217
heap,c,88,0.002223
heap,c,89,0.002271
heap,c,90,0.002222
heap,c,91,0.002220
heap,c,92,0.002211
heap,c,93,0.002210
heap,c,94,0.002198
heap,c,95,0.002233
heap,c,96,0.002213
heap,c,97,0.002227
heap,c,98,0.002218
heap,c,99,0.002233
radixlsd,c,0,0.003744
radixlsd,c,1,0.003699
radixlsd,c,2,0.003708
radixlsd,c,3,0.003696
radixlsd,c,4,0.003699
radixlsd,c,5,0.003705
radixlsd,c,6,0.003714
radixlsd,c,7,0.003691
radixlsd,c,8,0.003699
radixlsd,c,9,0.003696
radixlsd,c,10,0.003692
radixlsd,c,11,0.003701
radixlsd,c,12,0.003700
radixlsd,c,13,0.003700
radixlsd,c,14,0.003702
radixlsd,c,15,0.003695
radixlsd,c,16,0.003698
radixlsd,c,17,0.003698
radixlsd,c,18,0.003697
radixlsd,c,19,0.003704
radixlsd,c,20,0.003700
radixlsd,c,21,0.003877
radixlsd,c,22,0.003702
radixlsd,c,23,0.003701
radixlsd,c,24,0.003695
radixlsd,c,25,0.003701
radixlsd,c,26,0.003709
radixlsd,c,27,0.003699
radixlsd,c,28,0.003814
radixlsd,c,29,0.003697
radixlsd,c,30,0.003702
radixlsd,c,31,0.003703
radixlsd,c,32,0.003696
radixlsd,c,33,0.003703
radixlsd,c,34,0.003700
radixlsd,c,35,0.003697
radixlsd,c,36,0.003720
radixlsd,c,37,0.003703
radixlsd,c,38,0.003875
radixlsd,c,39,0.004072
radixlsd,c,40,0.003689
radixlsd,c,41,0.003694
radixlsd,c,42,0.003695
radixlsd,c,43,0.003708
radixlsd,c,44,0.003696
radixlsd,c,45,0.003707
